id,word,total num,low num,mid num,hig num
1,the,502062,173927,201810,126325
2,and,323406,101973,133384,88049
3,to,215867,78717,83398,53752
4,was,159909,65404,61940,32565
5,of,160553,53680,64888,41985
6,for,111967,39264,45282,27421
7,is,128791,38100,53136,37555
8,that,96402,36525,36736,23141
9,in,102481,34498,40474,27509
10,but,85088,34014,33851,17223
11,with,87041,26912,36578,23551
12,not,56457,25140,20218,11099
13,this,72535,24312,27369,20854
14,on,69676,24072,28337,17267
15,have,65428,21004,26363,18061
16,were,47175,19705,18084,9386
17,had,55599,19587,22514,13498
18,so,53125,18462,20819,13844
19,good,53084,18282,24212,10590
20,at,47682,18170,18207,11305
21,food,44492,17007,17028,10457
22,place,48271,16140,19282,12849
23,be,40846,15166,15976,9704
24,there,40294,15139,15509,9646
25,like,39644,15122,15786,8736
26,are,50170,15061,20973,14136
27,just,35152,14172,12502,8478
28,as,42529,13871,17192,11466
29,!,69769,13125,30425,26219
30,do,31990,12471,11805,7714
31,if,32888,12411,12522,7955
32,out,32946,12075,12819,8052
33,all,34339,11183,13612,9544
34,or,29735,10883,11601,7251
35,here,34472,10862,14139,9471
36,would,24415,10844,8938,4633
37,did,21944,9985,7902,4057
38,one,29872,9978,11781,8113
39,really,27968,9961,11800,6207
40,get,27859,9757,11126,6976
41,very,30491,9274,14097,7120
42,when,24110,9126,9223,5761
43,up,24886,9031,9894,5961
44,about,23719,9018,8655,6046
45,some,26344,8864,11214,6266
46,?,19143,8719,6135,4289
47,go,24699,8389,9622,6688
48,time,25322,8386,10445,6491
49,what,21974,8365,8186,5423
50,which,23792,8066,10181,5545
51,from,24949,7981,9981,6987
52,service,20823,7884,8059,4880
53,back,22208,7882,9062,5264
54,no,16612,7807,5413,3392
55,more,20733,7579,8288,4866
56,an,21960,7533,8559,5868
57,been,20616,7056,8161,5399
58,great,34475,7048,16260,11167
59,too,17900,6321,7387,4192
60,because,15525,6216,5852,3457
61,only,17380,6209,7212,3959
62,ordered,14628,6149,5626,2853
63,by,17252,6089,6641,4522
64,can,22199,6076,9412,6711
65,pretty,14774,6023,6457,2294
66,other,15667,5897,6240,3530
67,us,13725,5803,4694,3228
68,could,14529,5779,5254,3496
69,got,15345,5748,6121,3476
70,will,18561,5706,7576,5279
71,even,14855,5421,5280,4154
72,much,13492,5337,5162,2993
73,little,17183,5305,8041,3837
74,after,13023,5252,4915,2856
75,menu,16041,5238,6774,4029
76,also,19550,5180,8635,5735
77,order,12966,5109,5044,2813
78,nice,16313,5056,7633,3624
79,think,12407,5015,4689,2703
80,than,13616,4996,5467,3153
81,bar,14549,4979,6242,3328
82,better,10539,4882,3499,2158
83,people,12177,4841,4570,2766
84,restaurant,13082,4755,4893,3434
85,well,16079,4752,6862,4465
86,came,11063,4727,4144,2192
87,has,15781,4648,6557,4576
88,chicken,13853,4487,6015,3351
89,try,14766,4430,6433,3903
90,over,11056,4386,4113,2557
91,then,10320,4329,3589,2402
92,know,11655,4258,4349,3048
93,went,11325,4180,4524,2621
94,way,10883,4156,4076,2651
95,first,11886,4006,4679,3201
96,off,10165,4004,3854,2307
97,table,9028,3951,3292,1785
98,two,10430,3946,3948,2536
99,cheese,12595,3817,5550,3228
100,again,9183,3800,3312,2071
101,bad,7047,3743,2220,1084
102,going,9942,3696,3802,2444
103,salad,11170,3693,4733,2744
104,night,11478,3679,4865,2934
105,how,10116,3656,3665,2795
106,sauce,10400,3653,4355,2392
107,lunch,11804,3646,5501,2657
108,come,10207,3609,4090,2508
109,want,9538,3518,3518,2502
110,say,9548,3515,3583,2450
111,am,10920,3487,4361,3072
112,who,9163,3464,3292,2407
113,something,8872,3463,3348,2061
114,make,10543,3451,4156,2936
115,said,7247,3443,2392,1412
116,pizza,10895,3422,4419,3054
117,few,9806,3413,4232,2161
118,still,9265,3412,3838,2015
119,see,9260,3390,3618,2252
120,before,8921,3371,3425,2125
121,any,8462,3323,3036,2103
122,ok,5324,3293,1419,612
123,down,8515,3293,3033,2189
124,never,9896,3290,3621,2985
125,bit,8990,3266,4062,1662
126,while,9024,3262,3658,2104
127,though,8278,3237,3467,1574
128,another,7079,3227,2425,1427
129,give,7194,3226,2543,1425
130,nothing,5495,3150,1497,848
131,drinks,8428,3143,3432,1853
132,eat,9105,3143,3530,2432
133,minutes,5506,3111,1561,834
