id,word,total num,low num,mid num,hig num,,,word,total num,low num,mid num,hig num,,,
1,the,502062,173927,201810,126325,,,the,502062,173927,201810,126325,,,
2,and,323406,101973,133384,88049,,,and,323406,101973,133384,88049,,,
3,to,215867,78717,83398,53752,,,to,215867,78717,83398,53752,,,
4,of,160553,53680,64888,41985,,,of,160553,53680,64888,41985,,,
7,for,111967,39264,45282,27421,,,..,..,..,..,..,,,
8,in,102481,34498,40474,27509,,,good,53084,18282,24212,10590,,,
9,that,96402,36525,36736,23141,,,great,34475,7048,16260,11167,,,
10,with,87041,26912,36578,23551,,,love,17412,3080,7066,7266,,,
11,but,85088,34014,33851,17223,,,,,,,,,,
12,this,72535,24312,27369,20854,,,,,,,,,,
13,!,69769,13125,30425,26219,,word,low num,mid num,hig num,,word, p_l,p_m,p_h
14,on,69676,24072,28337,17267,,good,2,17,47,,good,0.25,0.154,0.193
15,have,65428,21004,26363,18061,,great,1,37,77,,great,0.125,0.336,0.316
16,not,56457,25140,20218,11099,,love,5,56,123,,love,0.625,0.509,0.549
17,had,55599,19587,22514,13498,,,,,,,,,,
18,so,53125,18462,20819,13844,,,,,,,,,,
19,good,53084,18282,24212,10590,,,,,,,,,,
20,are,50170,15061,20973,14136,,,,,,,,,,
21,place,48271,16140,19282,12849,,,,,,,,,,
22,at,47682,18170,18207,11305,,,,,,,,,,
23,were,47175,19705,18084,9386,,,,,,,,,,
24,food,44492,17007,17028,10457,,,,,,,,,,
25,as,42529,13871,17192,11466,,,,,,,,,,
26,be,40846,15166,15976,9704,,,,,,,,,,
27,there,40294,15139,15509,9646,,,,,,,,,,
28,like,39644,15122,15786,8736,,,,,,,,,,
29,just,35152,14172,12502,8478,,,,,,,,,,
30,great,34475,7048,16260,11167,,,,,,,,,,
31,here,34472,10862,14139,9471,,,,,,,,,,
32,all,34339,11183,13612,9544,,,,,,,,,,
33,out,32946,12075,12819,8052,,,,,,,,,,
34,if,32888,12411,12522,7955,,,,,,,,,,
35,do,31990,12471,11805,7714,,,,,,,,,,
36,very,30491,9274,14097,7120,,,,,,,,,,
37,one,29872,9978,11781,8113,,,,,,,,,,
38,or,29735,10883,11601,7251,,,,,,,,,,
39,really,27968,9961,11800,6207,,,,,,,,,,
40,get,27859,9757,11126,6976,,,,,,,,,,
41,some,26344,8864,11214,6266,,,,,,,,,,
42,time,25322,8386,10445,6491,,,,,,,,,,
43,from,24949,7981,9981,6987,,,,,,,,,,
44,up,24886,9031,9894,5961,,,,,,,,,,
45,go,24699,8389,9622,6688,,,,,,,,,,
46,would,24415,10844,8938,4633,,,,,,,,,,
47,when,24110,9126,9223,5761,,,,,,,,,,
48,which,23792,8066,10181,5545,,,,,,,,,,
49,about,23719,9018,8655,6046,,,,,,,,,,
50,back,22208,7882,9062,5264,,,,,,,,,,
51,can,22199,6076,9412,6711,,,,,,,,,,
52,what,21974,8365,8186,5423,,,,,,,,,,
53,an,21960,7533,8559,5868,,,,,,,,,,
54,did,21944,9985,7902,4057,,,,,,,,,,
55,service,20823,7884,8059,4880,,,,,,,,,,
56,more,20733,7579,8288,4866,,,,,,,,,,
57,been,20616,7056,8161,5399,,,,,,,,,,
58,also,19550,5180,8635,5735,,,,,,,,,,
59,?,19143,8719,6135,4289,,,,,,,,,,
60,will,18561,5706,7576,5279,,,,,,,,,,
61,too,17900,6321,7387,4192,,,,,,,,,,
62,love,17412,3080,7066,7266,,,,,,,,,,
63,only,17380,6209,7212,3959,,,,,,,,,,
64,by,17252,6089,6641,4522,,,,,,,,,,
65,little,17183,5305,8041,3837,,,,,,,,,,
66,no,16612,7807,5413,3392,,,,,,,,,,
67,nice,16313,5056,7633,3624,,,,,,,,,,
68,well,16079,4752,6862,4465,,,,,,,,,,
69,menu,16041,5238,6774,4029,,,,,,,,,,
70,has,15781,4648,6557,4576,,,,,,,,,,
71,other,15667,5897,6240,3530,,,,,,,,,,
72,because,15525,6216,5852,3457,,,,,,,,,,
73,got,15345,5748,6121,3476,,,,,,,,,,
74,even,14855,5421,5280,4154,,,,,,,,,,
75,pretty,14774,6023,6457,2294,,,,,,,,,,
76,try,14766,4430,6433,3903,,,,,,,,,,
77,ordered,14628,6149,5626,2853,,,,,,,,,,
78,bar,14549,4979,6242,3328,,,,,,,,,,
79,could,14529,5779,5254,3496,,,,,,,,,,
80,chicken,13853,4487,6015,3351,,,,,,,,,,
81,always,13765,2872,6113,4780,,,,,,,,,,
82,us,13725,5803,4694,3228,,,,,,,,,,
83,than,13616,4996,5467,3153,,,,,,,,,,
84,much,13492,5337,5162,2993,,,,,,,,,,
85,restaurant,13082,4755,4893,3434,,,,,,,,,,
86,after,13023,5252,4915,2856,,,,,,,,,,
87,best,12993,3006,4687,5300,,,,,,,,,,
88,order,12966,5109,5044,2813,,,,,,,,,,
89,cheese,12595,3817,5550,3228,,,,,,,,,,
90,think,12407,5015,4689,2703,,,,,,,,,,
